City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
boa vista,2.8197,-60.6733,29.0,58,40,4.12,BR,1614909670
pinhao,-25.6956,-51.6597,17.63,99,100,1.87,BR,1614909424
zharkent,44.1628,80.0,5.07,65,100,6.04,KZ,1614909671
dicabisagan,17.0818,122.4157,27.61,64,0,1.4,PH,1614909671
weinan,34.5036,109.5089,9.0,87,100,1.0,CN,1614909672
menongue,-14.6585,17.691,15.69,92,29,1.71,AO,1614909673
le havre,49.4938,0.1077,4.0,93,75,4.63,FR,1614909675
utmanzai,34.188,71.7629,14.0,62,0,2.06,PK,1614909676
ostersund,63.1792,14.6357,-5.0,86,40,4.12,SE,1614909677
broome,42.2506,-75.833,-8.0,67,75,6.17,US,1614909678
lavrentiya,65.5833,-171.0,-10.57,94,100,7.3,RU,1614909680
ribeira grande,38.5167,-28.7,14.48,63,92,2.16,PT,1614909680
medeiros neto,-17.3739,-40.2206,21.38,81,39,3.03,BR,1614909517
husavik,66.0449,-17.3389,4.0,75,40,7.2,IS,1614909682
tinaquillo,9.9186,-68.3047,22.15,78,39,2.69,VE,1614909682
laguna,38.421,-121.4238,18.0,36,1,3.09,US,1614909492
vao,-22.6667,167.4833,25.34,73,80,3.14,NC,1614909684
podor,16.6527,-14.9587,24.12,18,9,4.87,MR,1614909685
ponta do sol,32.6667,-17.1,15.56,72,54,2.24,PT,1614909687
medea,36.2642,2.7539,11.0,100,75,1.54,DZ,1614909688
vanavara,60.34,102.2797,-17.91,92,100,3.63,RU,1614909688
iki-burul,45.8208,44.6472,1.0,80,0,8.0,RU,1614909690
vila velha,-20.3297,-40.2925,25.56,78,0,2.06,BR,1614909643
thompson,55.7435,-97.8558,-3.0,68,75,3.09,CA,1614909691
praia da vitoria,38.7333,-27.0667,13.0,94,40,3.24,PT,1614909692
srednekolymsk,67.45,153.6833,-22.1,88,100,9.27,RU,1614909549
parrita,9.5201,-84.3225,20.0,64,20,6.69,CR,1614909693
rudsar,37.1376,50.288,9.0,87,90,1.03,IR,1614909694
hambantota,6.1241,81.1185,23.0,100,75,1.54,LK,1614909439
mattru,7.6244,-11.8332,24.33,95,95,1.12,SL,1614909694
moron,-34.6534,-58.6198,25.0,84,7,0.45,AR,1614909691
erenhot,43.6475,111.9767,-11.0,84,3,5.58,CN,1614909696
moose factory,51.2585,-80.6094,-18.0,60,1,4.12,CA,1614909697
avon,41.4517,-82.0354,-2.78,68,40,5.14,US,1614909698
eregli,37.5133,34.0467,0.67,81,0,0.06,TR,1614909698
umm kaddadah,13.6017,26.6876,16.78,28,0,7.94,SD,1614909698
kavieng,-2.5744,150.7967,29.26,72,86,4.13,PG,1614909700
tuatapere,-46.1333,167.6833,12.9,82,100,0.92,NZ,1614909701
ahipara,-35.1667,173.1667,21.56,58,0,3.49,NZ,1614909702
ngama,11.7833,17.1667,23.17,19,0,5.23,TD,1614909702
tocopilla,-22.092,-70.1979,20.65,74,17,0.7,CL,1614909615
chapais,49.7834,-74.8492,-18.0,71,90,6.17,CA,1614909703
severnoye,56.3491,78.3619,-3.98,98,100,7.32,RU,1614909704
hazorasp,41.3194,61.0742,-1.0,93,0,2.06,UZ,1614909704
nyurba,63.2842,118.3319,-30.1,85,0,3.57,RU,1614909705
kirakira,-10.4544,161.9205,28.1,73,99,5.32,SB,1614909705
samfya,-11.3649,29.5565,18.09,91,100,2.57,ZM,1614909706
acapulco,16.8634,-99.8901,27.0,74,20,2.57,MX,1614909209
kodinsk,58.6881,99.1844,-14.19,93,99,3.48,RU,1614909707
sorong,-0.8833,131.25,28.36,73,100,1.89,ID,1614909707
goderich,43.7501,-81.7165,-5.0,68,13,6.69,CA,1614909607
hasaki,35.7333,140.8333,15.0,63,75,3.09,JP,1614909483
saint george,37.1041,-113.5841,15.0,33,1,1.54,US,1614909663
belaya kholunitsa,58.84,50.8528,-15.35,93,93,3.6,RU,1614909709
lompoc,34.6391,-120.4579,13.0,76,20,3.6,US,1614909701
college,64.8569,-147.8028,-13.0,66,1,0.96,US,1614909557
pervomaysk,48.0443,30.8507,4.22,82,100,2.71,UA,1614909709
mount gambier,-37.8333,140.7667,19.0,52,75,5.66,AU,1614909581
kyren,51.6828,102.1408,-11.06,81,0,0.72,RU,1614909710
tereze,43.9361,42.4434,-6.0,86,0,2.0,RU,1614909711
aloleng,16.1307,119.7824,28.98,63,0,2.53,PH,1614909711
la ronge,55.1001,-105.2842,4.0,56,40,4.12,CA,1614909711
adrar,20.5022,-10.0711,19.95,20,72,4.08,MR,1614909713
miracema do tocantins,-9.5618,-48.3967,23.29,88,11,1.05,BR,1614909714
bambous virieux,-20.3428,57.7575,24.0,83,40,3.09,MU,1614909714
luderitz,-26.6481,15.1594,20.1,57,0,5.51,NA,1614909715
kuchera,26.9839,73.9719,19.54,24,0,3.37,IN,1614909717
moyale,3.5167,39.0584,20.45,61,100,2.87,KE,1614909718
sungaipenuh,-2.0833,101.3833,23.19,72,99,0.93,ID,1614909718
riberalta,-10.9833,-66.1,23.12,95,94,1.23,BO,1614909720
saskylakh,71.9167,114.0833,-35.89,80,22,3.23,RU,1614909718
knysna,-34.0363,23.0471,15.0,88,20,1.54,ZA,1614909721
sao joao da barra,-21.6403,-41.0511,24.56,86,73,6.21,BR,1614909721
sao jose da coroa grande,-8.8978,-35.1478,25.32,85,8,3.44,BR,1614909721
tayoltita,24.0833,-105.9333,18.38,32,94,1.0,MX,1614909722
krasnoselkup,65.7,82.4667,-11.95,95,100,6.71,RU,1614909719
coquimbo,-29.9533,-71.3436,17.0,82,90,1.03,CL,1614909723
banjar,-8.19,114.9675,26.0,89,40,5.66,ID,1614909725
moba,33.2288,105.0179,6.87,61,89,1.99,CN,1614909726
deer park,29.7052,-95.1238,14.44,77,1,5.14,US,1614909727
yar-sale,66.8333,70.8333,-12.51,96,100,3.31,RU,1614909729
powell river,49.8496,-124.5361,8.0,81,75,3.6,CA,1614909730
asau,46.4333,26.4,5.0,39,40,2.35,RO,1614909731
westport,41.1415,-73.3579,1.0,27,1,6.17,US,1614909655
tura,25.5198,90.2201,21.92,28,2,2.07,IN,1614909732
kieta,-6.2167,155.6333,29.55,68,94,5.02,PG,1614909645
saint-denis,48.9167,2.3333,5.0,81,90,4.63,FR,1614909732
kimbe,-5.5502,150.1429,28.2,80,100,4.4,PG,1614909733
kalas,18.1667,74.8,21.9,23,35,1.78,IN,1614909734
luanda,-8.8368,13.2343,27.0,83,75,2.06,AO,1614909734
aitape,-3.1374,142.3475,30.3,61,100,4.2,PG,1614909735
srostki,52.4189,85.7022,-7.8,94,100,1.97,RU,1614909736
pell city,33.5862,-86.2861,11.0,66,40,1.78,US,1614909737
saint-pierre,-21.3393,55.4781,25.0,78,0,2.06,RE,1614909739
tezu,27.9167,96.1667,19.49,54,96,0.54,IN,1614909739
kachiry,53.0675,76.1036,-6.25,95,44,8.63,KZ,1614909740
ozernovskiy,51.5,156.5167,-0.44,98,100,9.25,RU,1614909742
thana,34.6369,72.0739,12.81,41,0,2.81,PK,1614909742
diego de almagro,-26.3667,-70.05,15.49,62,0,0.5,CL,1614909690
san miguel de cauri,-10.1,-76.5833,6.48,88,100,0.79,PE,1614909744
patacamaya,-17.2333,-67.9167,8.4,82,100,2.19,BO,1614909745
upernavik,72.7868,-56.1549,-25.67,82,0,7.6,GL,1614909746
bilibino,68.0546,166.4372,-27.9,84,100,3.25,RU,1614909665
sao filipe,14.8961,-24.4956,21.12,77,96,5.93,CV,1614909747
pangnirtung,66.1451,-65.7125,-9.84,81,100,2.5,CA,1614909749
el penon,8.9892,-73.9486,28.8,50,100,2.85,CO,1614909750
puerto escondido,15.85,-97.0667,26.0,78,1,3.07,MX,1614909751
cuautepec,16.7,-99.0,22.53,78,1,1.19,MX,1614909751
torbay,47.6666,-52.7314,-1.67,86,1,6.69,CA,1614909752
sale,34.0389,-6.8166,15.0,100,75,3.09,MA,1614909754
escanaba,45.7453,-87.0646,-3.0,63,75,2.57,US,1614909754
porbandar,21.6422,69.6093,22.14,68,0,2.34,IN,1614909755
svetlaya,46.5389,138.3297,3.32,78,3,4.73,RU,1614909757
mount abu,24.6,72.7,14.15,51,0,1.39,IN,1614909758
xichang,27.8964,102.2634,21.67,8,64,0.62,CN,1614909760
tommot,58.9564,126.2925,-26.48,83,100,4.82,RU,1614909667
ranfurly,-45.1333,170.1,12.22,79,99,5.62,NZ,1614909761
salt,32.0392,35.7272,8.0,81,40,4.63,JO,1614909763
la spezia,44.1105,9.8434,10.56,87,100,2.76,IT,1614909765
pacific grove,36.6177,-121.9166,14.0,62,1,3.6,US,1614909662
airai,-8.9266,125.4092,23.3,72,40,0.69,TL,1614909598
nyagan,62.1406,65.3936,-14.4,95,92,2.17,RU,1614909765
filadelfia,39.9523,-75.1638,2.0,44,20,9.26,US,1614909765
hailey,43.5196,-114.3153,3.0,52,1,1.54,US,1614909765
komsomolskiy,40.4272,71.7189,7.0,53,40,6.17,UZ,1614909767
key west,24.5557,-81.7826,21.0,64,90,5.66,US,1614909573
poum,-20.2333,164.0167,24.5,87,100,2.49,NC,1614909767
harper,4.375,-7.7169,26.39,86,100,4.18,LR,1614909768
hovd,48.0056,91.6419,-7.7,65,2,0.62,MN,1614909581
souillac,-20.5167,57.5167,24.0,83,40,3.09,MU,1614909627
taldan,53.6667,124.8,-21.44,80,0,6.45,RU,1614909769
mosquera,4.7059,-74.2302,13.0,94,90,1.21,CO,1614909770
rodrigues alves,-7.738,-72.6509,22.45,95,100,0.54,BR,1614909771
havre-saint-pierre,50.2334,-63.5986,-4.0,86,90,5.66,CA,1614909773
marzuq,14.4,46.4667,14.07,44,0,1.65,YE,1614909774
kununurra,-15.7667,128.7333,32.0,38,0,1.03,AU,1614909774
mobaye,4.319,21.1786,21.54,40,79,1.35,CF,1614909775
san jose,37.3394,-121.895,16.0,55,1,6.17,US,1614909492
faya,18.3851,42.4509,14.0,67,20,2.06,SA,1614909777
katsuura,35.1333,140.3,16.11,67,75,1.54,JP,1614909778
norman wells,65.282,-126.8329,-15.0,66,75,7.2,CA,1614909272
stabat,3.761,98.4513,26.0,94,40,3.6,ID,1614909779
te anau,-45.4167,167.7167,12.83,79,97,2.65,NZ,1614909483
yermakovskoye,53.2831,92.4003,-10.86,93,88,0.79,RU,1614909780
saint-francois,46.4154,3.9054,6.0,93,90,1.54,FR,1614909615
krasnoarmeysk,51.0239,45.6969,2.22,86,100,2.24,RU,1614909780
bull savanna,17.8868,-77.5902,22.75,80,66,0.75,JM,1614909781
port hedland,-20.3167,118.5667,31.0,48,6,3.09,AU,1614909784
havoysund,70.9963,24.6622,-5.0,93,90,4.12,NO,1614909785
ouesso,1.6136,16.0517,22.95,53,0,1.3,CG,1614909786
constitucion,-35.3333,-72.4167,15.83,79,0,5.53,CL,1614909787
shelburne,44.0787,-80.2041,-8.33,83,39,6.52,CA,1614909788
floro,61.5996,5.0328,1.0,86,75,3.6,NO,1614909789
sagua la grande,22.8067,-80.0756,21.0,83,20,1.03,CU,1614909493
daru,-9.0763,143.2092,30.54,63,77,4.63,PG,1614909790
salalah,17.0151,54.0924,21.0,52,0,0.4,OM,1614909791
kapit,2.0167,112.9333,25.01,87,99,0.63,MY,1614909792
beringovskiy,63.05,179.3167,-18.07,84,49,3.52,RU,1614909793
cabra,37.4725,-4.4421,11.11,68,87,0.45,ES,1614909796
jha jha,24.7667,86.3667,22.57,22,43,1.81,IN,1614909797
ilulissat,69.2167,-51.1,-6.0,79,93,7.2,GL,1614909798
dunkirk,51.05,2.3667,5.0,77,100,1.34,FR,1614909799
sioux lookout,50.1001,-91.917,-4.0,68,20,2.06,CA,1614909718
kargasok,59.0556,80.8572,-3.3,97,100,6.17,RU,1614909801
uglovskoye,51.3557,80.1942,-4.05,96,76,7.39,RU,1614909801
bathsheba,13.2167,-59.5167,26.0,69,40,8.75,BB,1614909803
kavaratti,10.5669,72.642,28.3,56,54,3.14,IN,1614909804
midland,31.9974,-102.0779,21.0,10,1,7.72,US,1614909600
nouadhibou,20.931,-17.0347,17.08,79,100,11.13,MR,1614909804
duldurga,50.6761,113.5931,-21.1,81,0,1.04,RU,1614909805
aksu,41.1231,80.2644,5.14,62,99,1.08,CN,1614909806
richards bay,-28.783,32.0377,19.76,85,1,1.02,ZA,1614909807
kuito,-12.3833,16.9333,13.9,95,100,1.72,AO,1614909809
methoni,36.8197,21.7049,10.56,87,0,1.03,GR,1614909810
kamina,-8.7386,24.9906,17.8,97,100,0.44,CD,1614909810
anage,-14.6122,-41.1356,20.84,74,11,1.12,BR,1614909811
alta floresta,-9.8756,-56.0861,21.94,98,100,1.43,BR,1614909811
muriwai beach,-36.8167,174.45,24.0,60,40,2.57,NZ,1614909812
senador jose porfirio,-2.5908,-51.9542,23.59,93,99,1.83,BR,1614909813
tlaltenango,19.1667,-98.3333,21.0,28,40,4.63,MX,1614909814
semnan,35.5729,53.3971,8.53,51,27,2.05,IR,1614909816
noshiro,40.2039,140.0242,4.0,81,75,1.03,JP,1614909817
zlitan,32.4674,14.5687,14.57,59,85,8.53,LY,1614909818
san juan,-31.5375,-68.5364,28.73,31,4,2.12,AR,1614909602
nara,34.6851,135.8049,12.78,87,75,3.09,JP,1614909822
largo,27.9095,-82.7873,17.78,51,0,3.6,US,1614909782
saint-joseph,-21.3667,55.6167,25.0,78,0,2.06,RE,1614909824
ongandjera,-17.8833,15.0667,21.56,47,31,2.13,NA,1614909825
rawson,-43.3002,-65.1023,15.47,82,8,4.76,AR,1614909826
gopalpur,19.2667,84.9167,24.41,49,53,3.83,IN,1614909827
leeuwarden,53.2014,5.8086,2.22,80,20,5.14,NL,1614909704
bitung,1.4451,125.1824,25.0,94,40,4.97,ID,1614909829
koungou,-12.7336,45.2042,28.0,78,75,7.2,YT,1614909831
half moon bay,37.4636,-122.4286,16.0,82,1,2.32,US,1614909547
la esperanza,14.8667,-91.5667,18.33,95,59,1.64,GT,1614909833
tecpan,14.7623,-90.9947,19.0,48,0,7.2,GT,1614909833
roebourne,-20.7833,117.1333,31.4,39,0,4.06,AU,1614909834
oum hadjer,13.2954,19.6966,20.98,22,0,5.03,TD,1614909836
shenjiamen,29.9576,122.298,11.16,81,6,2.5,CN,1614909838
marrakesh,31.6315,-8.0083,13.0,88,40,2.57,MA,1614909540
tecoanapa,16.5167,-98.75,24.37,80,0,1.99,MX,1614909839
fairbanks,64.8378,-147.7164,-13.0,72,1,2.06,US,1614909766
salekhard,66.53,66.6019,-15.76,94,100,3.42,RU,1614909840
houma,29.5958,-90.7195,14.0,67,1,1.54,US,1614909842
narsaq,60.9167,-46.05,10.0,29,96,8.23,GL,1614909843
trairi,-3.2778,-39.2689,26.8,78,100,4.31,BR,1614909845
harindanga,22.0383,88.3214,24.0,88,40,1.54,IN,1614909794
awjilah,29.1081,21.2869,11.74,46,100,3.32,LY,1614909847
